Grid case,Wind speed [m/s],Turbulence intensity,"CD,0","CD,0’","CL,0","CL,0’","CM,0","CM,0’"
Clean,4.8,0.02,0.5,−1.45,−0.32,−0.65,−0.08,0.44
Clean,6.9,0.02,0.5,−1.43,−0.24,−0.76,−0.05,0.38
Clean,9.2,0.01,0.5,−0.78,−0.15,0.65,−0.01,0.96
Clean,11.1,0.01,0.51,−0.37,−0.11,1.76,0.01,1.44
Grid case 1,4.6,0.1,0.47,−1.56,−0.27,0.32,−0.06,0.74
Grid case 1,6.9,0.1,0.44,−1.30,−0.24,0.11,−0.05,0.65
Grid case 1,9.1,0.11,0.46,−1.16,−0.18,1.08,−0.03,1.1
Grid case 1,10.8,0.11,0.45,−0.77,−0.15,1.53,−0.01,1.32
Grid case 2,4.8,0.15,0.43,−1.18,−0.29,1.48,−0.07,1.29
Grid case 2,6.8,0.16,0.41,−1.18,−0.26,1.42,−0.06,1.25
Grid case 2,9.3,0.17,0.41,−0.89,−0.21,1.36,−0.04,1.22
Grid case 2,10.7,0.17,0.43,−0.84,−0.18,1.70,−0.03,1.39
